name,title,group,value
and,flare/query/methods/and,query,330
average,flare/query/methods/average,query,287
count,flare/query/methods/count,query,277
distinct,flare/query/methods/distinct,query,292
div,flare/query/methods/div,query,595
eq,flare/query/methods/eq,query,594
fn,flare/query/methods/fn,query,460
gt,flare/query/methods/gt,query,603
gte,flare/query/methods/gte,query,625
iff,flare/query/methods/iff,query,748
isa,flare/query/methods/isa,query,461
lt,flare/query/methods/lt,query,597
lte,flare/query/methods/lte,query,619
max,flare/query/methods/max,query,283
min,flare/query/methods/min,query,283
mod,flare/query/methods/mod,query,591
mul,flare/query/methods/mul,query,603
neq,flare/query/methods/neq,query,599
not,flare/query/methods/not,query,386
or,flare/query/methods/or,query,323
orderby,flare/query/methods/orderby,query,307
range,flare/query/methods/range,query,772
select,flare/query/methods/select,query,296
stddev,flare/query/methods/stddev,query,363
sub,flare/query/methods/sub,query,600
sum,flare/query/methods/sum,query,280
update,flare/query/methods/update,query,307
variance,flare/query/methods/variance,query,335
where,flare/query/methods/where,query,299
xor,flare/query/methods/xor,query,354
_,flare/query/methods/_,query,264
Minimum,flare/query/Minimum,query,843
Not,flare/query/Not,query,1554
Or,flare/query/Or,query,970
Query,flare/query/Query,query,13896
Range,flare/query/Range,query,1594
StringUtil,flare/query/StringUtil,query,4130
Sum,flare/query/Sum,query,791
Variable,flare/query/Variable,query,1124
Variance,flare/query/Variance,query,1876
Xor,flare/query/Xor,query,1101
scale,flare/scale,scale,0
IScaleMap,flare/scale/IScaleMap,scale,2105
LinearScale,flare/scale/LinearScale,scale,1316
LogScale,flare/scale/LogScale,scale,3151
OrdinalScale,flare/scale/OrdinalScale,scale,3770
QuantileScale,flare/scale/QuantileScale,scale,2435
QuantitativeScale,flare/scale/QuantitativeScale,scale,4839
RootScale,flare/scale/RootScale,scale,1756
Scale,flare/scale/Scale,scale,4268
ScaleType,flare/scale/ScaleType,scale,1821
TimeScale,flare/scale/TimeScale,scale,5833
util,flare/util,util,0
Arrays,flare/util/Arrays,util,8258
Colors,flare/util/Colors,util,10001
Dates,flare/util/Dates,util,8217
Displays,flare/util/Displays,util,12555
Filter,flare/util/Filter,util,2324
Geometry,flare/util/Geometry,util,10993
heap,flare/util/heap,util,0
FibonacciHeap,flare/util/heap/FibonacciHeap,util,9354
HeapNode,flare/util/heap/HeapNode,util,1233
IEvaluable,flare/util/IEvaluable,util,335
IPredicate,flare/util/IPredicate,util,383
IValueProxy,flare/util/IValueProxy,util,874
math,flare/util/math,util,0
DenseMatrix,flare/util/math/DenseMatrix,util,3165
IMatrix,flare/util/math/IMatrix,util,2815
SparseMatrix,flare/util/math/SparseMatrix,util,3366
Maths,flare/util/Maths,util,17705
Orientation,flare/util/Orientation,util,1486
palette,flare/util/palette,util,0
ColorPalette,flare/util/palette/ColorPalette,util,6367
Palette,flare/util/palette/Palette,util,1229
ShapePalette,flare/util/palette/ShapePalette,util,2059
SizePalette,flare/util/palette/SizePalette,util,2291
Property,flare/util/Property,util,5559
Shapes,flare/util/Shapes,util,19118
Sort,flare/util/Sort,util,6887
Stats,flare/util/Stats,util,6557
Strings,flare/util/Strings,util,22026
vis,flare/vis,vis,0
axis,flare/vis/axis,vis,0
Axes,flare/vis/axis/Axes,vis,1302
Axis,flare/vis/axis/Axis,vis,24593
AxisGridLine,flare/vis/axis/AxisGridLine,vis,652
AxisLabel,flare/vis/axis/AxisLabel,vis,636
CartesianAxes,flare/vis/axis/CartesianAxes,vis,6703
controls,flare/vis/controls,vis,0
AnchorControl,flare/vis/controls/AnchorControl,vis,2138
ClickControl,flare/vis/controls/ClickControl,vis,3824
Control,flare/vis/controls/Control,vis,1353
ControlList,flare/vis/controls/ControlList,vis,4665
DragControl,flare/vis/controls/DragControl,vis,2649
ExpandControl,flare/vis/controls/ExpandControl,vis,2832
HoverControl,flare/vis/controls/HoverControl,vis,4896
IControl,flare/vis/controls/IControl,vis,763
PanZoomControl,flare/vis/controls/PanZoomControl,vis,5222
SelectionControl,flare/vis/controls/SelectionControl,vis,7862
TooltipControl,flare/vis/controls/TooltipControl,vis,8435
data,flare/vis/data,vis,0
Data,flare/vis/data/Data,vis,20544
DataList,flare/vis/data/DataList,vis,19788
DataSprite,flare/vis/data/DataSprite,vis,10349
EdgeSprite,flare/vis/data/EdgeSprite,vis,3301
NodeSprite,flare/vis/data/NodeSprite,vis,19382
render,flare/vis/data/render,vis,0
ArrowType,flare/vis/data/render/ArrowType,vis,698
EdgeRenderer,flare/vis/data/render/EdgeRenderer,vis,5569
IRenderer,flare/vis/data/render/IRenderer,vis,353
ShapeRenderer,flare/vis/data/render/ShapeRenderer,vis,2247
ScaleBinding,flare/vis/data/ScaleBinding,vis,11275
Tree,flare/vis/data/Tree,vis,7147
TreeBuilder,flare/vis/data/TreeBuilder,vis,9930
events,flare/vis/events,vis,0
DataEvent,flare/vis/events/DataEvent,vis,2313
SelectionEvent,flare/vis/events/SelectionEvent,vis,1880
TooltipEvent,flare/vis/events/TooltipEvent,vis,1701
VisualizationEvent,flare/vis/events/VisualizationEvent,vis,1117
legend,flare/vis/legend,vis,0
Legend,flare/vis/legend/Legend,vis,20859
LegendItem,flare/vis/legend/LegendItem,vis,4614
LegendRange,flare/vis/legend/LegendRange,vis,10530
operator,flare/vis/operator,vis,0
distortion,flare/vis/operator/distortion,vis,0
BifocalDistortion,flare/vis/operator/distortion/BifocalDistortion,vis,4461
Distortion,flare/vis/operator/distortion/Distortion,vis,6314
FisheyeDistortion,flare/vis/operator/distortion/FisheyeDistortion,vis,3444
encoder,flare/vis/operator/encoder,vis,0
ColorEncoder,flare/vis/operator/encoder/ColorEncoder,vis,3179
Encoder,flare/vis/operator/encoder/Encoder,vis,4060
PropertyEncoder,flare/vis/operator/encoder/PropertyEncoder,vis,4138
ShapeEncoder,flare/vis/operator/encoder/ShapeEncoder,vis,1690
SizeEncoder,flare/vis/operator/encoder/SizeEncoder,vis,1830
filter,flare/vis/operator/filter,vis,0
FisheyeTreeFilter,flare/vis/operator/filter/FisheyeTreeFilter,vis,5219
GraphDistanceFilter,flare/vis/operator/filter/GraphDistanceFilter,vis,3165
VisibilityFilter,flare/vis/operator/filter/VisibilityFilter,vis,3509
IOperator,flare/vis/operator/IOperator,vis,1286
label,flare/vis/operator/label,vis,0
Labeler,flare/vis/operator/label/Labeler,vis,9956
RadialLabeler,flare/vis/operator/label/RadialLabeler,vis,3899
StackedAreaLabeler,flare/vis/operator/label/StackedAreaLabeler,vis,3202
layout,flare/vis/operator/layout,vis,0
AxisLayout,flare/vis/operator/layout/AxisLayout,vis,6725
BundledEdgeRouter,flare/vis/operator/layout/BundledEdgeRouter,vis,3727
CircleLayout,flare/vis/operator/layout/CircleLayout,vis,9317
CirclePackingLayout,flare/vis/operator/layout/CirclePackingLayout,vis,12003
DendrogramLayout,flare/vis/operator/layout/DendrogramLayout,vis,4853
ForceDirectedLayout,flare/vis/operator/layout/ForceDirectedLayout,vis,8411
IcicleTreeLayout,flare/vis/operator/layout/IcicleTreeLayout,vis,4864
IndentedTreeLayout,flare/vis/operator/layout/IndentedTreeLayout,vis,3174
Layout,flare/vis/operator/layout/Layout,vis,7881
NodeLinkTreeLayout,flare/vis/operator/layout/NodeLinkTreeLayout,vis,12870
PieLayout,flare/vis/operator/layout/PieLayout,vis,2728
RadialTreeLayout,flare/vis/operator/layout/RadialTreeLayout,vis,12348
RandomLayout,flare/vis/operator/layout/RandomLayout,vis,870
StackedAreaLayout,flare/vis/operator/layout/StackedAreaLayout,vis,9121
TreeMapLayout,flare/vis/operator/layout/TreeMapLayout,vis,9191
Operator,flare/vis/operator/Operator,vis,2490
OperatorList,flare/vis/operator/OperatorList,vis,5248
OperatorSequence,flare/vis/operator/OperatorSequence,vis,4190
OperatorSwitch,flare/vis/operator/OperatorSwitch,vis,2581
SortOperator,flare/vis/operator/SortOperator,vis,2023
Visualization,flare/vis/Visualization,vis,16540
